Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,carriesin_3rd,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
427,Jason Steele\28300a16,eng ENG,GK,Brighton,31-174,1990,1,42,37,42,0,0,0,36,0,0,,0,0,28,90,36,0,0,0,0,0,28,28,100,0,Matches
428,Jed Steer\a8a3d139,eng ENG,GK,Aston Villa,29-138,1992,1,37,33,36,1,0,0,28,0,0,,0,0,19,77,52,0,0,0,0,0,20,19,95,0,Matches
429,Zack Steffen\42130443,us USA,GK,Manchester City,26-312,1995,1,41,37,41,0,0,0,32,0,0,,0,0,18,58,23,0,0,0,0,0,20,20,100,0,Matches
430,Dale Stephens\653ee42d,eng ENG,MF,Burnley,32-241,1989,1.4,75,4,14,56,10,0,75,0,0,,0,0,34,120,35,0,2,0,2,1,43,37,86,1,Matches
431,Jack Stephens\6adbc307,eng ENG,DF,Southampton,28-012,1994,5.4,330,44,172,174,15,2,316,0,1,0,0,0,178,1250,779,21,7,0,0,0,198,191,96.5,1,Matches
432,Raheem Sterling\b400bde0,eng ENG,FW,Manchester City,27-062,1994,13.8,742,3,40,254,505,129,736,27,64,42.2,29,1,642,3118,1891,118,21,30,25,47,801,620,77.4,142,Matches
433,Finley Stevens\7e003182,wls WAL,DF,Brentford,18-304,2003,0.2,10,0,2,5,3,1,10,0,0,,0,0,4,22,0,0,0,0,0,0,6,5,83.3,1,Matches
434,John Stones\5eecec3d,eng ENG,DF,Manchester City,27-256,1994,5.6,420,45,148,285,15,4,410,1,2,50,1,0,290,2046,1186,52,2,0,1,0,339,331,97.6,0,Matches
435,Pascal Struijk\f4d296e4,nl NED,DFMF,Leeds United,22-181,1999,11.3,758,94,406,335,60,3,731,3,4,75,3,0,442,2429,1354,18,0,0,2,9,482,459,95.2,6,Matches
436,Crysencio Summerville\df04eb4b,nl NED,MFFW,Leeds United,20-101,2001,1.4,85,2,16,26,47,7,84,3,6,50,3,0,70,340,148,11,0,1,2,5,69,57,82.6,12,Matches
437,Jakob Sørensen\953c30b0,dk DEN,DFMF,Norwich City,23-342,1998,4.1,224,31,112,104,18,7,216,2,2,100,2,1,122,616,353,9,1,0,2,2,136,124,91.2,3,Matches
438,Japhet Tanganga\e9971f2d,eng ENG,DF,Tottenham,22-314,1999,8.2,504,46,181,244,115,11,450,3,6,50,3,0,283,1401,954,35,15,3,4,9,327,310,94.8,12,Matches
439,Matt Targett\e514ab62,eng ENG,DF,Aston Villa,26-143,1995,15.9,965,62,290,422,291,17,817,1,5,20,1,0,508,1909,1094,36,11,3,8,6,586,526,89.8,31,Matches
440,James Tarkowski\15ea812b,eng ENG,DF,Burnley,29-081,1992,18,806,159,409,365,60,38,796,3,5,60,3,0,302,1468,693,13,3,0,8,3,384,350,91.1,6,Matches
441,Nuno Tavares\a65c844b,pt POR,DF,Arsenal,22-013,2000,6.9,498,25,153,202,181,29,442,16,27,59.3,16,0,338,1774,1082,53,18,8,7,7,332,311,93.7,22,Matches
442,Charlie Taylor\cc2d7ad5,eng ENG,DF,Burnley,28-143,1993,16,962,93,335,422,269,6,801,15,30,50,18,0,463,3250,1366,62,27,0,9,11,450,429,95.3,14,Matches
443,Nathan Tella\f1e94cd6,eng ENG,MFFW,Southampton,22-218,1999,6.5,256,7,42,115,123,19,249,11,27,40.7,13,1,182,1066,608,25,11,5,28,18,237,148,62.4,28,Matches
444,Alex Telles\e73c9bb2,br BRA,DF,Manchester Utd,29-055,1992,8.2,626,26,179,281,201,9,526,2,8,25,2,0,335,1411,800,31,19,0,2,5,394,361,91.6,21,Matches
